# P6a final Gallica list (2026-07-27, manual P6a-3b pass; reasons in journal)
ogid	fname	gname	year	occ	gqid	cy	ark	title	creator	reason
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k405865m	Souvenirs du dîner Bixio / Jules Claretie ; préf. de Georges Claretie	Claretie, Jules (1840-1913). Auteur du texte	own dinner-circle memories
nisard-desire-1806-03-20	Nisard	Désiré	1806	writer	A6-599	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9675503q	Souvenirs de voyages : France, Belgique, Prusse rhénane, Angleterre / par D. Nisard,...	Nisard, Désiré (1806-1888). Auteur du texte	travel memoir
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6464633h	Paris assiégé : tableaux et souvenirs, septembre 1870-janvier 1871 / Jules Claretie	Claretie, Jules (1840-1913). Auteur du texte	siege diary-memoir, own experience
riviere-jacques-1886-07-15	Riviere	Jacques	1886	novelist	A6-690	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9465424	Allemand , souvenirs et réflexions d'un prisonnier de guerre de 1914-1918	Rivière, Jacques (1886-1925). Auteur du texte	POW memoir 1914-18
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5439085p	Souvenirs du quatre septembre. Le Gouvernement de la défense nationale / par Jules Simon	Simon, Jules (1814-1896). Auteur du texte	own political memoir
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5545585p	Mon frère et moi : souvenirs d'enfance et de jeunesse / par Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte	childhood memoir (same work as PG 30915 — text source PG)
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58202539	Les Français en Algérie, souvenirs d'un voyage fait en 1841, par Louis Veuillot,...	Veuillot, Louis (1813-1883). Auteur du texte	first-person 1841 travel memoir
riviere-jacques-1886-07-15	Riviere	Jacques	1886	novelist	A6-690	FR	https://gallica.bnf.fr/ark:/12148/bpt6k8630316s	L'Allemand, souvenirs et réflexions d'un prisonnier de guerre. 13è édition / Jacques Rivière	Rivière, Jacques (1886-1925). Auteur du texte	POW memoir 1914-18
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k37211g	La canne de M. Michelet : promenades et souvenirs / Jules Clarétie,... ; préf. par Alfred Mézières,...	Claretie, Jules (1840-1913). Auteur du texte	promenades et souvenirs, first-person essays
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	https://gallica.bnf.fr/ark:/12148/bpt6k392051	Les français en Algérie : souvenirs d'un voyage fait en 1841 (2e édition) / par Louis Veuillot,...	Veuillot, Louis (1813-1883). Auteur du texte	first-person 1841 travel memoir
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6365959v	La France envahie (juillet à septembre 1870) : Forbach et Sedan Impressions et souvenirs de guerre (1er août 1871) / Jul	Claretie, Jules (1840-1913). Auteur du texte	own war impressions 1870
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58428361	Souvenirs d'un vieillard, la dernière étape, par Émile Souvestre, précédée d'une notice sur la vie d'Émile Souvestre, pa	Souvestre, Émile (1806-1854). Auteur du texte	late-life memoirs
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3357774k	Souvenirs romains / Jérôme Carcopino,...	Carcopino, Jérôme (1881-1970). Auteur du texte	first-person Rome years memoir
siegfried-andre-1875-04-21	Siegfried	André	1875	writer	A6-741	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3390170s	Mes souvenirs d'enfance / André Siegfried	Siegfried, André (1875-1959). Auteur du texte	childhood memoirs
carcopino-jerome-1881-06-27	Carcopino	Jerome	1881	writer	A6-170	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33574964	Souvenirs de sept ans : 1937-1944 / Jérôme Carcopino	Carcopino, Jérôme (1881-1970). Auteur du texte	first-person memoir 1937-44
dekobra-maurice-1885-05-26	Dekobra	Maurice	1885	novelist	A6-238	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3382855v	Sous le signe du cobra : mes souvenirs de globe-trotter / Maurice Dekobra	Dekobra, Maurice (1885-1973). Auteur du texte	own travel memoirs
leautaud-paul-1872-01-18	Leautaud	Paul	1872	writer	A6-475	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3370335g	Mélange : souvenirs de Basoche, ménagerie intime, amour, femmes, etc. / Paul Léautaud ; une lithographie de Berthold Mah	Léautaud, Paul (1872-1956). Auteur du texte	personal prose: souvenirs de Basoche etc.
ajalbert-jean-1863-06-10	Ajalbert	Jean	1863	novelist	A6-9	FR	https://gallica.bnf.fr/ark:/12148/bpt6k4221142t	Mémoires en vrac : au temps du symbolisme, 1880-1890 / Jean Ajalbert,...	Ajalbert, Jean (1863-1947). Auteur du texte	first-person literary memoirs
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	Souvenirs d'un voyageur (Nouvelle édition) / Xavier Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte	travel memoir
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k105465r	Souvenirs de voyages et traditions populaires / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte	travel + folklore memoir
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1054664	Nouveaux souvenirs de voyage. Franche-Comté / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte	travel memoir Franche-Comte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9692198f	Impressions et souvenirs d'un voyageur chrétien / par Xavier Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte	travel memoir
montegut-emile-1825-06-23	Montegut	Emile	1825	writer	A6-584	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1022057	Tableaux de la France : souvenirs de Bourgogne / par Émile Montégut	Montégut, Émile (1825-1895). Auteur du texte / Autrice du texte	travel essays first-person
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k10955124	Un été au bord de la Baltique et de la mer du Nord, souvenirs de voyage, par X. Marmier,...	Marmier, Xavier (1808-1892). Auteur du texte	Baltic travel memoir
grancher-marcel-1897-08-12	Grancher	Marcel	1897	writer	E3-729	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33926207	La fin des haricots : souvenirs / Marcel E. Grancher,...	Grancher, Marcel Étienne (1897-1976). Auteur du texte	first-person souvenirs
guirec-jean-charton-1898-07-31	Guirec	Jean (CHARTON)	1898	writer	E3-759	FR	https://gallica.bnf.fr/ark:/12148/bpt6k33945319	La belle comédie : récit, souvenirs littéraires, 1919-1939 / Jean Guirec	Guirec, Jean (1898-1988). Auteur du texte	recit, souvenirs litteraires (comedie = metaphor)
marbo-camille-1883-04-11	Marbo	Camille	1883	novelist	A6-536	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3359085k	A travers deux siècles : souvenirs et rencontres (1883-1967) / Camille Marbo	Marbo, Camille (1883-1969). Auteur du texte	souvenirs et rencontres 1883-1967
harcourt-robert-1881-11-23	Harcourt	Robert	1881	writer	A6-407	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3380747b	Souvenirs de captivité et d'évasions (Édition définitive) / Robert d'Harcourt,...	Harcourt, Robert d' (1881-1965). Auteur du texte	POW memoir 1915-18
