decision	ogid	ark	title	creator	reason
reject	bertrand-louis-1866-03-25	https://gallica.bnf.fr/ark:/12148/bpt6k109068r	Mémoires historiques et physiques sur les tremblemens de ter	Bertrand, Élie (1713-1797). Auteur du texte	given-name mismatch
accept	monselet-charles-1825-04-30	https://gallica.bnf.fr/ark:/12148/bpt6k57318952	Mes souvenirs littéraires / par Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte	creator+year+memoir-title
accept	descaves-lucien-1861-03-18	https://gallica.bnf.fr/ark:/12148/bpt6k3382280v	Souvenirs d'un ours / Lucien Descaves,...	Descaves, Lucien (1861-1949). Auteur du texte	creator+year+memoir-title
reject	lenormand-henri-1882-05-03	https://gallica.bnf.fr/ark:/12148/bd6t54186748b	Les Pitoëff, souvenirs / H.-R. Lenormand	Lenormand, Henri-René (1882-1951). Auteur du texte	given-name mismatch
accept	soulie-frederic-1800-12-23	https://gallica.bnf.fr/ark:/12148/bpt6k9612811q	Les mille et un romans. t. 2, Les mémoires du diable / par F	Soulié, Frédéric (1800-1847). Auteur du texte	creator+year+memoir-title
reject	bazin-rene-1853-12-26	https://gallica.bnf.fr/ark:/12148/bpt6k9636541m	La cour de Marie de Médicis, mémoires d'un cadet de Gascogne	Bazin, Anaïs (1797-1850). Auteur du texte	given-name mismatch
reject	durand-oswald-1888-02-09	https://gallica.bnf.fr/ark:/12148/bpt6k6510280d	Mémoires sur Napoléon et Marie-Louise 1810-1814 (3e édition)	Durand, Sophie (1772-1850). Auteur du texte	given-name mismatch
reject	belot-gustave-1859-08-07	https://gallica.bnf.fr/ark:/12148/bpt6k64729t	Le secret terrible : mémoires d'un caissier (8e édition) / A	Belot, Adolphe (1829-1890). Auteur du texte / Autrice du tex	given-name mismatch
reject	le-roy-edouard-1870-06-18	https://gallica.bnf.fr/ark:/12148/bpt6k10922926	Mémoires et observations de médecine. Première partie. Conte	Le Roy, Charles (1726-1779 ; Médecin). Auteur du texte	given-name mismatch
reject	le-roy-eugene-1836-11-29	https://gallica.bnf.fr/ark:/12148/bpt6k10922926	Mémoires et observations de médecine. Première partie. Conte	Le Roy, Charles (1726-1779 ; Médecin). Auteur du texte	given-name mismatch
reject	leroy-pierre-1900-08-24	https://gallica.bnf.fr/ark:/12148/bpt6k10922926	Mémoires et observations de médecine. Première partie. Conte	Le Roy, Charles (1726-1779 ; Médecin). Auteur du texte	given-name mismatch
reject	lacroix-francis-1895-11-29	https://gallica.bnf.fr/ark:/12148/bpt6k56847610	Mémoires d'une somnambule ou Les mille et une nuits parisien	Lacroix, Jules (1809-1887). Auteur du texte	given-name mismatch
reject	cheruel-pierre-1809-01-17	https://gallica.bnf.fr/ark:/12148/bpt6k64648210	Notice sur la vie et les Mémoires du duc de Saint-Simon ; pa	Chéruel, Adolphe (1809-1891). Auteur du texte	given-name mismatch
reject	lecomte-georges-1867-07-09	https://gallica.bnf.fr/ark:/12148/bd6t5380592x	Nouveaux mémoires sur l'état présent de la Chine, par le P. 	Le Comte, Louis (1655-1728). Auteur du texte	given-name mismatch
reject	bernard-charles-1804-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k9799819n	Mémoires pour servir à l'histoire naturelle de la Provence. 	Bernard, Pons-Joseph (1748-1816). Auteur du texte	given-name mismatch
reject	bernard-jean-1888-07-30	https://gallica.bnf.fr/ark:/12148/bpt6k9799819n	Mémoires pour servir à l'histoire naturelle de la Provence. 	Bernard, Pons-Joseph (1748-1816). Auteur du texte	given-name mismatch
reject	bernard-tristan-1866-09-07	https://gallica.bnf.fr/ark:/12148/bpt6k9799819n	Mémoires pour servir à l'histoire naturelle de la Provence. 	Bernard, Pons-Joseph (1748-1816). Auteur du texte	given-name mismatch
reject	martin-hans-1886-11-09	https://gallica.bnf.fr/ark:/12148/bpt6k91742x	Mémoires et débats sur les grands principes des sciences phy	Martin, Émile (1799-18..). Auteur du texte	given-name mismatch
reject	martin-henri-1810-02-20	https://gallica.bnf.fr/ark:/12148/bpt6k91742x	Mémoires et débats sur les grands principes des sciences phy	Martin, Émile (1799-18..). Auteur du texte	given-name mismatch
reject	leblanc-maurice-1864-12-11	https://gallica.bnf.fr/ark:/12148/bpt6k681263	Un clerc qui n'a pas trahi : Alfred Loisy d'après ses mémoir	Leblanc, Sylvain (1865-1933). Auteur du texte / Autrice du t	given-name mismatch
accept	about-edmond-1828-02-14	https://gallica.bnf.fr/ark:/12148/bpt6k62077112	Le fellah : souvenirs d'Égypte / Edmond About	About, Edmond (1828-1885). Auteur du texte	creator+year+memoir-title
accept	hermant-abel-1862-02-03	https://gallica.bnf.fr/ark:/12148/bpt6k3385767n	Souvenirs de la vie mondaine / Abel Hermant,...	Hermant, Abel (1862-1950). Auteur du texte	creator+year+memoir-title
reject	feuillet-octave-1821-08-11	https://gallica.bnf.fr/ark:/12148/bpt6k6581091r	Souvenirs et correspondances / par Mme Octave Feuillet	Feuillet, Valérie (1832-1906). Auteur du texte	given-name mismatch
reject	silvestre-charles-1889-02-02	https://gallica.bnf.fr/ark:/12148/bpt6k109260b	Portraits et souvenirs, 1886-1891 / Armand Silvestre	Silvestre, Armand (1837-1901). Auteur du texte	given-name mismatch
reject	feydeau-georges-1862-12-08	https://gallica.bnf.fr/ark:/12148/bpt6k213578f	Théophile Gautier : souvenirs intimes / par Ernest Feydeau..	Feydeau, Ernest (1821-1873). Auteur du texte	given-name mismatch
accept	houssaye-arsene-1814-03-28	https://gallica.bnf.fr/ark:/12148/bpt6k215323r	Souvenirs de jeunesse : 1830-1850 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte	creator+year+memoir-title
accept	gebhart-emile-1839-07-19	https://gallica.bnf.fr/ark:/12148/bpt6k107542s	Souvenirs d'un vieil Athénien / Emile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte	creator+year+memoir-title
reject	roux-francois-1897-03-09	https://gallica.bnf.fr/ark:/12148/bpt6k105368k	Les Alpes : histoire et souvenirs / Xavier Roux	Roux, Xavier (1850-19..). Auteur du texte	given-name mismatch
reject	lemonnier-camille-1844-03-23	https://gallica.bnf.fr/ark:/12148/bpt6k1070262	Souvenirs d'Italie / par A. H. Lemonnier,...	Lemonnier, André Hippolyte (1794-1871). Auteur du texte	given-name mismatch
accept	hermant-abel-1862-02-03	https://gallica.bnf.fr/ark:/12148/bpt6k33515511	Les grands bourgeois : mémoires pour servir à l'histoire de 	Hermant, Abel (1862-1950). Auteur du texte	creator+year+memoir-title
accept	loisy-alfred-1857-02-28	https://gallica.bnf.fr/ark:/12148/bpt6k6555498f	Mémoires pour servir à l'histoire religieuse de notre temps.	Loisy, Alfred (1857-1940). Auteur du texte	creator+year+memoir-title
accept	simon-jules-1814-12-27	https://gallica.bnf.fr/ark:/12148/bpt6k9681023s	Mémoires des autres / Jules Simon ; ill. de Noël Saunier ; g	Simon, Jules (1814-1896). Auteur du texte	creator+year+memoir-title
reject	billiet-paul-1838-02-14	https://gallica.bnf.fr/ark:/12148/bpt6k65796058	Mémoires pour servir à l'histoire ecclésiastique du diocèse 	Billiet, Alexis (1783-1873). Auteur du texte	given-name mismatch
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k66115z	Les misères des enfants trouvés, ou Les mémoires d'un valet 	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
accept	simon-jules-1814-12-27	https://gallica.bnf.fr/ark:/12148/bpt6k2070111	Mémoires des autres / Jules Simon ; ill. de Noël Saunier ; g	Simon, Jules (1814-1896). Auteur du texte	creator+year+memoir-title
reject	durand-oswald-1888-02-09	https://gallica.bnf.fr/ark:/12148/bpt6k292363	Mémoires sur l'impératrice Joséphine, ses contemporains, la 	Durand, Sophie (1772-1850). Auteur du texte	given-name mismatch
accept	laffitte-pierre-1823-02-21	https://gallica.bnf.fr/ark:/12148/bpt6k65101713	Testament d'Auguste Comte, avec les documents qui s'y rappor	Laffitte, Pierre (1823-1903). Auteur du texte	creator+year+memoir-title
accept	comte-auguste-1798-01-19	https://gallica.bnf.fr/ark:/12148/bpt6k65101713	Testament d'Auguste Comte, avec les documents qui s'y rappor	Comte, Auguste (1798-1857). Auteur du texte	creator+year+memoir-title
accept	marmier-xavier-1808-06-22	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	Souvenirs d'un voyageur (Nouvelle édition) / Xavier Marmier,	Marmier, Xavier (1808-1892). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k5812230n	Souvenirs d'un Bas-Breton, par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
accept	malot-hector-1830-05-20	https://gallica.bnf.fr/ark:/12148/bpt6k6114830v	Suzanne : souvenirs d'un blessé / par Hector Malot	Malot, Hector (1830-1907). Auteur du texte	creator+year+memoir-title
accept	about-edmond-1828-02-14	https://gallica.bnf.fr/ark:/12148/bpt6k56628593	Nouvelles et souvenirs (3e éd.) / par Edmond About,...	About, Edmond (1828-1885). Auteur du texte	creator+year+memoir-title
accept	tinan-jean-1874-01-19	https://gallica.bnf.fr/ark:/12148/bpt6k9763465t	Jean de Tinan : souvenirs et correspondance / André Lebey	Tinan, Jean de (1874-1898). Auteur du texte	creator+year+memoir-title
reject	bernard-charles-1804-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k6572642c	Souvenirs sur Paul Cézanne et Lettres / Émile Bernard	Bernard, Émile (1868-1941). Auteur du texte	given-name mismatch
reject	bernard-jean-1888-07-30	https://gallica.bnf.fr/ark:/12148/bpt6k6572642c	Souvenirs sur Paul Cézanne et Lettres / Émile Bernard	Bernard, Émile (1868-1941). Auteur du texte	given-name mismatch
reject	bernard-tristan-1866-09-07	https://gallica.bnf.fr/ark:/12148/bpt6k6572642c	Souvenirs sur Paul Cézanne et Lettres / Émile Bernard	Bernard, Émile (1868-1941). Auteur du texte	given-name mismatch
reject	halevy-daniel-1872-12-12	https://gallica.bnf.fr/ark:/12148/bpt6k6375746t	L'invasion : souvenirs et récits / par Ludovic Halévy	Halévy, Ludovic (1834-1908). Auteur du texte	given-name mismatch
reject	lemaitre-jules-1853-04-27	https://gallica.bnf.fr/ark:/12148/bpt6k6481200c	Souvenirs de Frédérick Lemaître / publiés par son fils	Lemaître, Frédérick (1800-1876). Auteur du texte	given-name mismatch
reject	vogue-eugene-1848-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k5758593x	Souvenirs et visions / Vte E.-M. de Vogüé	Vogüé, Eugène-Melchior de (1848-1910). Auteur du texte	given-name mismatch
accept	about-edmond-1828-02-14	https://gallica.bnf.fr/ark:/12148/bpt6k96247g	Nouvelles et souvenirs (3e éd.) / par Edmond About,...	About, Edmond (1828-1885). Auteur du texte	creator+year+memoir-title
reject	bernard-charles-1804-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k408034j	La Lisette de Béranger : souvenirs intimes / Thalès Bernard	Bernard, Thalès (1821-1873). Auteur du texte	given-name mismatch
reject	bernard-jean-1888-07-30	https://gallica.bnf.fr/ark:/12148/bpt6k408034j	La Lisette de Béranger : souvenirs intimes / Thalès Bernard	Bernard, Thalès (1821-1873). Auteur du texte	given-name mismatch
reject	bernard-tristan-1866-09-07	https://gallica.bnf.fr/ark:/12148/bpt6k408034j	La Lisette de Béranger : souvenirs intimes / Thalès Bernard	Bernard, Thalès (1821-1873). Auteur du texte	given-name mismatch
accept	hermant-abel-1862-02-03	https://gallica.bnf.fr/ark:/12148/bpt6k66378d	M. de Courpière marié (nouveaux souvenirs) / Abel Hermant	Hermant, Abel (1862-1950). Auteur du texte	creator+year+memoir-title
accept	reclus-elisee-1830-03-15	https://gallica.bnf.fr/ark:/12148/bpt6k775296	Le Mississipi : études et souvenirs / [Signé : Élisée Reclus	Reclus, Élisée (1830-1905). Auteur du texte	creator+year+memoir-title
reject	daudet-ernest-1837-05-31	https://gallica.bnf.fr/ark:/12148/bd6t541978666	Souvenirs d'un homme de lettres / Alphonse Daudet	Daudet, Alphonse (1840-1897). Auteur du texte	given-name mismatch
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k6551733w	Les misères des enfants trouvés, ou Les mémoires d'un valet 	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k6154207n	Mathilde, mémoires d'une jeune femme, par M. Eugène Süe. Nou	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
reject	bertrand-louis-1866-03-25	https://gallica.bnf.fr/ark:/12148/bpt6k2050150	Archéologie celtique et gauloise : mémoires et documents rel	Bertrand, Alexandre (1820-1902). Auteur du texte	given-name mismatch
accept	hermant-abel-1862-02-03	https://gallica.bnf.fr/ark:/12148/bd6t54169302b	Mémoires pour servir à l'histoire de la société. Les confide	Hermant, Abel (1862-1950). Auteur du texte	creator+year+memoir-title
accept	goncourt-edmond-1822-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k58315120	Sophie Arnould, d'après sa correspondance et ses mémoires in	Goncourt, Edmond de (1822-1896). Auteur du texte	creator+year+memoir-title
reject	goncourt-edmond-1822-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k58315120	Sophie Arnould, d'après sa correspondance et ses mémoires in	Goncourt, Jules de (1830-1870). Auteur du texte	given-name mismatch
